Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,L’ANDALOUSIE AU TEMPS DES MAURES – LES GITANES 
Titelvarianten (inkl. Übersetzungen),Maur-1900
Original_varianten (inkl. Übersetzungen),"«L'Andalousie» , qui occupe au Trocadéro plus de cinq mille mètres, est une des attractions les plus importantes de l'Exposition. Nous voici, après quelques pas, transportés en pleine Espagne; à droite, de vieilles maisons romanes de la province de Tolède; à gauche, peinte en trompe-l'oeil, une vue panoramique de l'Alhambra de Grenade avec le Monte Sacro, refuge des gitanes, aux danses endiablées et aux déhanchements si provocants.  "
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
","Baschet, Ludovic (https://explore.gnd.network/gnd/1021381314)
Neurdein Frères (https://explore.gnd.network/gnd/16312670-7)"
Quelle / Archiv,"Le Panorama : Exposition universelle 1900, publié sous la dir. de René Baschet ; avec les photographies de Neurdein frères et Maurice Baschet. Paris: Librairie  d'Art Ludovic Baschet éd..

Internet Archive / Getty Research Institute
Inv.Nr.: gri_33125009332426
https://archive.org/details/gri_33125009332426/page/n53/mode/2up
[zuletzt abgerufen am 07.08.25] 

"
Sichtbare oder rekonstruierbare Personen,No data
Entstehungsjahr,1900
Ort der Entstehung / Nutzung,"Paris, Frankreich"
Gattung / Genre ,Fotografische Illustration im Bildband
Technik,Schwarzweiß-Fotocollage mit Kommentar
Dimensionen:,"
27 x 35 cm
160 Seiten, hier: S. 54"
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Es handelt sich um eine Seite aus dem Bildband Le Panorama: Exposition universelle 1900 über die Weltausstellung von 1900 in Paris. Die Seite ist die erste von insgesamt sechs kommentierten fotografischen Illustrationen der Ausstellung L'Andalousie au temps des Maures, die im Bildkommentar als eine der wichtigsten Attraktionen der Weltausstellung bezeichnet wird. Auf der Fotocollage ist eine Gruppe von jungen und alten Frauen in typischen Flamenco-Kostümen abgebildet, die im Bildkommentar als Gitanes fremdbezeichnet werden. Das Zentrum der Abbildung bildet eine Tänzerin in ausladender Bewegung. Im linken Bildhintergrund ist ein großes Trompe-l'œil der Alhambra und des Sacromonte mit erhöhtem Eingang zum Café Maures zu sehen. Spanische Roma-Tänzer*innen und Musiker*innen waren eine Hauptattraktion der Ausstellung L'Andalousie au temps des Maures, weshalb die Darstellung der Gitanes den Auftakt der Bildserie bildet."
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"Fotocollage und Bildkommentar reproduzieren stereotype Vorstellungsbilder der spanischen Gitane als besonders begabter und ausdrucksstarker Tänzerin und Verführerin. Die ambivalenten Zuschreibungen von faszinierender bis bedrohlicher Feminität und Sensualität spiegeln sich auf der Bildebene in den selbstbewussten bis hin zu ""kokettierenden"" Blicken und Körperhaltungen wider; auf der Textebene in der Zuschreibung ""mit ihren wilden Tänzen und provokanten Hüftbewegungen.""
Das Motiv der auf dem Boden sitzenden Gitane sowie die Beschreibung der Höhlenwohnungen auf dem Sacromonte als ""refuge"" reproduzieren Zuschreibungen von vermeintlicher Primitivität und Zivilisationsferne."
Motive / Topoi ,"Rekurriert wird auf die populäre Projektionsfigur der spanischen Gitane als besonders ausdrucksstarker Flamenco-Tänzerin und Femme fatale mit geläufigen Zuschreibungen von Wildheit, Freiheitsliebe und ungezügelter Sexualität (von Hagen 2009).
Die Höhlenwohnungen des Sacromonte als angeblicher Wiege der Kultur der spanischen Rom*nja sind beliebtes Motiv bei der Fremd- wie bei der Selbstdarstellung."
Narrative / Diskurse,"Orientalismus/Exotismus: Die Ausstellung L'Andalousie au temps des Maures rekurriert in Form eines ""historischen Rundgangs"" durch architektonische Imagerien aus Gips und Pappmachée auf  kursierende Vorstellungsbilder eines orientalisierten Andalusiens am Rande Europas. Im Kontext dieser Vorstellungsbilder wurden die von der französischen Mehrheitsgesellschaft als Gitans/Gitanes fremdbezeichneten spanischstämmigen Rom*nja und insbesondre ihre weiblichen Vertreterinnen als zentrale Aushandlungsfiguren des ,Fremden‘ und ,Exotischen‘ funktionalisiert. Die Faszination für diese Projektionsfiguren spiegelt sich im Programm der als kommerzielles Publikumsspektakel konzepualisierten Ausstellung wider, das neben Handleserei/Wahrsagerei Flamenco-Auftritte spanischer Rom*nja, Aufführungen von Z-Hochzeiten und Kunsthandwerk spanischer Rom*nja anbietet. 
Kolonialismus: Die in der Ausstellung reproduzierten Vorstellungsbilder und Darstellungsweisen affirmieren im Kontext der Weltausstellung imperiale Hegemonie- und Hierarchiekonstruktionen. Zivilisatorische Überlegenheit wird insbesondere über abwertende Darstellungen von alterisierten Mauren und Gitans/Gitanes demonstriert. Sie beinhalten Elemente von Irrationalität, Feminität, Sensualität oder Zivilisationsferne und schreiben die konstruieren Gruppen als fremd und nicht-europäisch fest. Für die Ausstellung wurden Statisten aus dem nordafrikanischen Kolonialgebiet als Mauren-Darsteller*innen engagiert. Ein weiterer Kolonialismus-Bezug besteht durch die Mitbeteiligung der Société des Peintres Orientalistes Français an der Ausstellung. Sie war wichtiges politisches Instrument zur Gestaltung der visuellen Identität der französischen Kolonien und wurde vom französischen Kolonialministerium unterstützt. "
Historischer Kontext,"Unter dem Motto Le bilan d'un siècle (Bilanz eines Jahrhunderts) fand vom 15.04.–12.11.1900 auf dem Höhepunkt der Belle Époque in Paris die mit ca. fünfzig Millionen Besucher*innen bis dato erfolgreichste Weltausstellung (Exposition universelle et internationale de Paris) statt.
Um die Idee einer herkömmlichen Weltausstellung zu steigern und eine Bilanz der Fortschritte in Kunst, Wissenschaft und Technik des vergangenen Jahrhunderts zu präsentieren, wurde die Ausstellung als Jahrmarkt-ähnliches Spektakel mit Schwerpunkt auf bühnenhafter Illusion, Zerstreuung und kurzlebigen Attraktionen für ein sensationshungriges Publikum inszeniert. Diese Spektakularisierung der Wissensvermittlung ging einher mit einer rücksichtlosen Alterisierung kolonialisierter Kulturen und anderer Minderheiten."
Agency,"Für die verschiedenen Publikumsattraktionen der Ausstellung L'Andalousie au temps des Maures wurden Rom*nja aus Spanien gegen Bezahlung engagiert. Eine der Hauptattraktionen der Ausstellung war die Tanzgruppe des «Capitan de Grenade et sa troupe», die auf der Pariser Weltausstellung von 1889 große Bekanntheit erlangt hatte und danach auf Tourneen ging. "
Verknüpfung ,Ausstellung L'Andalousie au temps des Maures auf der Weltausstellung 1900 in Paris
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,No data
Provenienz,No data
Literatur,"Von Hagen, Kirsten (2009): Inszenierte Alterität: Zigeunerfiguren in Literatur, Oper und Film. München.
Benjamin, Roger (2005): Andalusia in the Time of the Moors: Regret and Colonial Presence in Paris, 1900, in: Jocelyn Hackforth-Jones/Mary Roberts (ed.): Edges of Empire Orientalism and Visual Culture. Malden/Oxford/Victoria: 181-205.
Sazatornil Ruiz, Luis (2019): L’Andalousie au temps des maures. La explotación de la imagen artística de Andalucía en París, 1900, in: Rocío Plaza Orellana/Luis Méndez Rodríguez (ed.): Arte y turismo: la identidad andaluza en la configuración cultural de Europa, Sevilla: 137-170."
Ausstellungen / Aufführungen / Veröffentlichungen,No data
Objekt- oder Werkteil,Auszug
Rechte / Lizenzen,Public Domain
Digitalisat-Link/Pfad,https://archive.org/details/gri_33125009332426/page/n53/mode/2up
Metadaten-Status,No data
Erfasst von,"K.v.H., M.W."
Erfassungsdatum,8/7/2025
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,PrintedBook
